日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2025/01/01,1,1200米,好地,1,1,中環精英(J042),黃寶妮,容天鵬,124,1151,5,1:09.98,賽後須抽取樣本檢驗。
2025/01/01,1,1200米,好地,2,8,喆喆友福(J345),湯普新,鄭俊偉,124,1087,3,1:10.20,賽後被發現失去左前蹄的蹄鐵。賽後須抽取樣本檢驗。
2025/01/01,1,1200米,好地,3,2,同喜(J403),蔡明紹,告東尼,131,1091,4,1:10.30,無特別報告。
2025/01/01,1,1200米,好地,4,5,亮寶(K067),班德禮,羅富全,128,1100,9,1:10.34,早段及中段搶口，接近九百米處時在一段途程上在收慢避開「假日福星」之際昂首。接近五百米處時被向外斜跑的「假日福星」碰撞。直路上走勢稚嫩，難以被力策。
2025/01/01,1,1200米,好地,5,7,假日福星(J240),田泰安,丁冠豪,125,1211,2,1:10.48,沿途走勢稚嫩，中段於轉彎時外閃。賽後被發現口部有血。
2025/01/01,1,1200米,好地,6,12,好瑪威威(J254),何澤堯,呂健威,120,1080,10,1:10.57,出閘緩慢。
2025/01/01,1,1200米,好地,7,10,辣得金(J087),黃智弘,伍鵬志,117,1067,7,1:10.83,賽後，見習騎師黃智弘表示，他須於早段消耗坐騎一些氣力以切入領放，坐騎因而在直路上未能以勁勢衝刺。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2025/01/01,1,1200米,好地,8,4,魅力心(K053),艾道拿,蔡約翰,128,1155,6,1:10.86,起步時發生碰撞。
2025/01/01,1,1200米,好地,9,3,心福(K050),潘明輝,姚本輝,128,1087,8,1:10.88,出閘緩慢。末段在「辣得金」之後受困之際未能被力策至終點。
2025/01/01,1,1200米,好地,10,6,盛勢威楓(K111),布文,賀賢,128,1072,1,1:11.10,抵達起步點後被發現口部有血。在閘內煩躁不安，其後被牽出閘廂並接受獸醫檢查，獸醫認為此駒適宜出賽。「盛勢威楓」必須經閘廂測試及格後，才可再次出賽。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2025/01/01,1,1200米,好地,11,11,威德勇士(J385),楊明綸,文家良,123,1078,12,1:11.38,自大外檔出閘後於早段在馬群之後切入。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2025/01/01,1,1200米,好地,WV-A,9,鄭大哥(J046),鍾易禮,葉楚航,121,---,---,---,在前往閘廂途中將騎師拋下，因而在鞍上無人下跑了一段不短的距離。獸醫認為此駒不適宜出賽，小組遂按照獸醫意見著令此駒退出此賽。「鄭大哥」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2025/01/01,2,1800米,好地,1,7,烈火駿馬(G339),霍宏聲,姚本輝,128,1188,7,1:49.18,難以入閘。「烈火駿馬」必須試閘及格後，才可再次出賽。出閘僅屬一般。末段內閃，導致騎師霍宏聲於接近五十米處時改以右手握鞭。賽後須抽取樣本檢驗。
2025/01/01,2,1800米,好地,2,5,齊歡最樂(J182),艾兆禮,伍鵬志,131,1210,11,1:49.32,賽後須抽取樣本檢驗。
2025/01/01,2,1800米,好地,3,13,雄昇勇士(J067),鍾易禮,徐雨石,114,1230,5,1:49.42,四百五十米處至二百五十米處之間受困而未能望空。
2025/01/01,2,1800米,好地,4,6,香港精神(D241),田泰安,葉楚航,130,1043,10,1:49.45,出閘僅屬一般，其後受向外斜跑的「永勝金駒」擠迫。接近五十米處時被略為帶向內跑。
2025/01/01,2,1800米,好地,5,2,駿彩飛馳(J252),賀銘年,蔡約翰,135,1059,1,1:49.49,無特別報告。
2025/01/01,2,1800米,好地,6,3,好運寶馬(E157),班德禮,巫偉傑,132,1151,2,1:49.63,出閘僅屬一般，其後受「滿載歸來」擠迫，當時「滿載歸來」被「皇金風速」帶向內跑。四百五十米處至三百米處之間嚴重受困而未能望空。
2025/01/01,2,1800米,好地,7,1,上市魅力(H196),潘頓,蘇偉賢,135,1128,13,1:49.65,在配鞍房內重新裝上左前蹄的蹄鐵。其後接受獸醫檢查，獸醫認為此駒適宜出賽。
2025/01/01,2,1800米,好地,8,10,永勝金駒(H471),潘明輝,丁冠豪,127,1045,9,1:49.80,大部分途程在沒有遮擋下走大外疊。
2025/01/01,2,1800米,好地,9,12,滿載歸來(H083),布文,容天鵬,125,1211,3,1:50.50,趨近三百米處時在移至「皇金風速」外側之際難以望空。賽後，布文表示，坐騎陣上走勢良佳，但於接近三百米處時望空後對催策反應僅屬平平，末段墮退。練馬師容天鵬告知小組，此駒在是賽前的表現令他感到滿意。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。小組認為與近仗相比，「滿載歸來」今仗的表現令人失望。「滿載歸來」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。賽後須抽取樣本檢驗。
2025/01/01,2,1800米,好地,10,14,喜悅一生(G072),蔡明紹,鄭俊偉,115,1182,8,1:50.76,接近四百米處時一度受困。
2025/01/01,2,1800米,好地,11,11,皇金風速(E448),巴度,蘇偉賢,125,1037,4,1:50.88,賽後，巴度未能就坐騎令人失望的表現提供任何解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2025/01/01,2,1800米,好地,12,9,樂捉鳥(G470),艾道拿,沈集成,128,1230,6,1:51.65,無特別報告。
2025/01/01,2,1800米,好地,13,4,馬利奧(J100),楊明綸,賀賢,132,1174,12,1:53.02,大部分途程在沒有遮擋下走外疊。賽後立即接受獸醫檢查，內窺鏡檢查顯示此駒的氣管內有很多痰。「馬利奧」包尾大敗而回，小組認為此駒的表現難以接受。「馬利奧」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2025/01/01,2,1800米,好地,WV,8,富裕君子(H447),黃智弘,方嘉柏,121,---,---,---,賽日早上被小組按照獸醫意見（發燒）著令退出。「富裕君子」必須通過獸醫檢驗後，才可再次出賽。
2025/01/01,3,1200米,好地,1,1,膨才(K076),何澤堯,蘇偉賢,131,1142,10,1:09.67,自外檔出閘後於早段在馬群之後切入。趨近三百米處時受困而未能望空，過了三百米處後向外斜跑，與「火焰閃爍」互相觸碰。賽後須抽取樣本檢驗。
2025/01/01,3,1200米,好地,2,12,旺旺快駒(J119),艾道拿,廖康銘,120,1080,9,1:09.79,賽後須抽取樣本檢驗。
2025/01/01,3,1200米,好地,3,10,金創福威(K002),楊明綸,黎昭昇,121,1277,3,1:09.87,無特別報告。
2025/01/01,3,1200米,好地,4,9,鼓浪高升(J479),潘頓,伍鵬志,123,1141,1,1:10.02,無特別報告。
2025/01/01,3,1200米,好地,5,3,挺秀騰飛(J108),蔡明紹,巫偉傑,126,1160,5,1:10.18,出閘僅屬一般。過了一百五十米處後在略為向內斜跑的「鼓浪高升」內側未能望空之際收慢。
2025/01/01,3,1200米,好地,6,6,飛躍成就(K112),布文,賀賢,125,1052,7,1:10.38,接近四百米處時在「劍無名」之後受困而未能望空，其後在一段途程上在推進至「劍無名」與「星河勇士」之間的窄位之際難以望空。
2025/01/01,3,1200米,好地,7,7,戀愛狂(K118),潘明輝,葉楚航,125,1147,2,1:10.47,中段外閃。
2025/01/01,3,1200米,好地,8,5,歡樂飛駒(J496),希威森,呂健威,125,1223,8,1:10.58,無特別報告。
2025/01/01,3,1200米,好地,9,4,火焰閃爍(K098),田泰安,大衛希斯,125,1084,6,1:10.97,趨近三百米處時在「富國兄弟」之後受困而未能望空。過了三百米處後移至「富國兄弟」內側，但在「富國兄弟」與「膨才」之間未能望空之際勒避，當時「膨才」在同時推進至該空位之際略為向外斜跑。小組認為在此宗事件中沒有騎師不小心策騎。
2025/01/01,3,1200米,好地,10,8,星河勇士(J380),巴度,蔡約翰,123,1152,11,1:11.26,出閘笨拙。接近九百米處時收慢避開「富國兄弟」，當時「富國兄弟」向外斜跑避開「戀愛狂」，而「戀愛狂」則於首次轉彎時外閃。
